A,B,C,D,E,F,G,H,I,J
0,5,2778.523,0.309,0.392,132.818,84.58,217.399,1.527,218.927
0,0,2898.815,0.362,0.463,12.416,86.002,98.418,1.107,99.525
0,7,2734.674,0.744,0.873,195.477,83.728,279.205,7.848,287.053
0,4,2773.831,0.339,0.428,156.128,91.457,247.585,1.311,248.897
0,6,2810.317,0.339,0.432,125.657,102.335,227.993,2.034,230.027
0,2,2941.285,0.294,0.367,38.02,79.84,117.86,1.696,119.556
0,8,2943.648,0.293,0.373,38.288,79.728,118.016,2.042,120.058
0,9,2936.108,0.466,0.563,63.933,82.084,146.017,1.602,147.619
0,4,3022.735,0.269,0.339,3.697,87.616,91.313,0.516,91.83
0,3,2994.213,0.418,0.495,42.946,81.806,124.752,0.29,125.043
0,1,2974.591,0.641,0.762,72.809,81.187,153.997,1.512,155.51
0,9,3083.737,0.352,0.425,15.144,84.807,99.951,1.383,101.335
0,6,3040.353,0.399,0.48,61.605,83.294,144.899,9.906,154.806
0,2,3060.852,0.407,0.487,40.928,92.521,133.449,0.893,134.342
0,0,2998.348,0.336,0.417,115.561,82.329,197.89,2.808,200.698
0,8,3063.714,0.314,0.391,50.53,84.619,135.15,28.56,163.71
0,1,3130.111,0.381,0.484,36.604,82.182,118.787,1.306,120.094
0,5,2997.458,0.349,0.427,169.477,83.501,252.978,2.447,255.425
0,7,3021.738,0.425,0.518,148.774,83.974,232.748,0.411,233.16
0,3,3119.263,0.315,0.392,50.462,85,135.463,4.92,140.383
0,4,3114.576,0.397,0.465,66.492,81.543,148.035,1.216,149.251
0,9,3185.086,0.49,0.563,0.843,79.106,79.95,28.271,108.222
0,6,3195.164,0.659,0.878,41.861,81.999,123.86,0.305,124.166
0,8,3227.436,0.588,0.685,13.471,80.559,94.03,0.675,94.705
0,0,3199.056,0.344,0.417,55.856,81.147,137.003,2.313,139.317
0,2,3195.197,0.89,0.993,59.866,83.95,143.817,2.518,146.336
0,1,3250.212,0.555,0.641,53.457,80.43,133.887,1.541,135.428
0,5,3252.89,0.347,0.424,55.768,81.876,137.644,2.326,139.971
0,9,3293.317,0.516,0.622,39.115,78.826,117.941,1.674,119.615
0,2,3341.541,0.379,0.456,26.056,81.181,107.238,1.453,108.691
0,4,3263.836,0.304,0.385,109.176,79.223,188.399,1.336,189.736
0,6,3319.341,0.424,0.509,52.086,83.572,135.658,1.93,137.589
0,3,3259.654,0.318,0.4,115.781,84.483,200.264,2.851,203.116
0,9,3412.942,0.36,0.432,19.904,83.186,103.091,0.294,103.386
0,5,3392.869,0.364,0.438,46.674,81.708,128.382,2.336,130.718
0,7,3254.902,0.434,0.504,184.8,83.725,268.526,1.536,270.063
0,0,3338.38,0.334,0.412,104.769,84.635,189.405,0.579,189.984
0,8,3322.15,0.363,0.429,120.337,85.709,206.047,1.064,207.111
0,3,3462.777,0.285,0.363,32.857,78.802,111.659,3.064,114.724
0,2,3450.24,0.329,0.416,53.507,82.338,135.845,0.291,136.137
0,1,3385.654,0.404,0.479,125.574,82.017,207.591,1.116,208.708
0,6,3456.937,0.306,0.374,58.496,80.921,139.418,1.87,141.288
0,4,3453.579,0.31,0.387,61.685,82.969,144.655,1.418,146.073
0,8,3529.268,0.324,0.408,31.325,78.86,110.186,1.213,111.4
0,5,3523.596,0.334,0.417,39.494,83.382,122.877,0.347,123.225
0,7,3524.971,0.36,0.472,47.432,80.801,128.234,0.953,129.187
0,4,3599.659,0.319,0.398,27.195,80.69,107.885,1.895,109.781
0,3,3577.512,0.571,0.652,51.889,82.948,134.837,1.141,135.979
0,1,3594.371,0.341,0.422,42.685,81.099,123.785,1.473,125.259
0,7,3654.167,0.306,0.383,15.528,81.986,97.515,2.405,99.92
0,9,3516.338,0.397,0.472,178.897,79.745,258.642,2.238,260.881
0,2,3586.389,1.185,1.333,109.11,81.551,190.661,2.03,192.692
0,5,3646.833,0.424,0.488,56.484,81.305,137.789,1.209,138.999
0,0,3528.372,0.397,0.487,176.378,80.819,257.198,0.746,257.944
0,6,3598.234,0.336,0.428,102.676,85.142,187.818,1.845,189.664
0,8,3640.677,0.476,0.58,83.915,81.6,165.515,12.681,178.196
0,4,3709.449,0.415,0.495,25.988,83.141,109.13,1.996,111.126
0,3,3713.499,0.322,0.402,55.534,81.807,137.341,0.906,138.248
0,0,3786.324,0.919,1.147,3.983,80.348,84.331,1.885,86.217
0,7,3754.097,0.438,0.543,36.421,81.782,118.204,1.217,119.421
0,9,3777.227,0.339,0.419,18.041,81.599,99.641,2.512,102.154
0,1,3719.638,0.353,0.419,112.793,82.398,195.191,1.433,196.624
0,4,3820.583,0.299,0.38,14.112,83.485,97.598,1.551,99.149
0,6,3787.905,0.358,0.44,49.391,82.265,131.656,1.218,132.874
0,2,3779.087,0.323,0.402,81.512,79.373,160.885,3.793,164.679
0,5,3785.843,1.116,1.253,82.986,77.901,160.888,1.176,162.064
0,8,3818.882,0.383,0.46,80.581,80.539,161.121,2.24,163.361
0,9,3879.424,0.314,0.394,21.002,81.687,102.689,1.579,104.268
0,6,3920.787,0.287,0.38,3.32,80.808,84.129,2.54,86.669
0,7,3873.527,0.371,0.436,60.962,79.343,140.305,1.693,141.998
0,5,3947.917,0.324,0.401,18.55,86.417,104.968,1.132,106.101
0,3,3851.755,0.345,0.42,114.969,87.007,201.977,0.317,202.294
0,9,3983.709,0.467,0.534,6.466,81.73,88.196,0.443,88.64
0,8,3982.255,0.767,0.998,14.279,81.449,95.729,1.705,97.435
0,4,3919.74,0.346,0.424,85.31,79.932,165.243,0.644,165.887
0,7,4015.534,0.333,0.409,17.541,80.366,97.907,1.668,99.575
0,1,3916.272,0.432,0.512,128.903,84.8,213.703,2.03,215.733
0,0,3872.552,0.463,0.605,190.345,81.085,271.43,2.323,273.754
0,2,3943.776,0.456,0.565,124.062,79.417,203.479,2.947,206.427
0,5,4054.025,0.473,0.519,16.707,81.618,98.325,2.546,100.872
0,4,4085.637,0.444,0.528,14.533,83.168,97.701,1.309,99.01
0,7,4115.136,0.466,0.563,10.979,80.789,91.768,1.994,93.762
0,9,4072.356,0.332,0.411,61.405,81.35,142.756,1.96,144.716
0,6,4007.465,0.323,0.404,173.194,81.587,254.782,1.562,256.344
0,0,4146.315,0.415,0.495,47.446,82.791,130.237,1.332,131.569
0,3,4054.052,0.334,0.407,140.693,83.369,224.063,5.103,229.166
0,8,4079.697,0.352,0.431,114.177,84.118,198.295,7.426,205.722
0,4,4184.657,0.346,0.42,13.748,86.813,100.561,0.308,100.869
0,2,4150.211,0.297,0.391,50.058,85.067,135.125,2.111,137.237
0,9,4217.079,0.289,0.372,15.913,78.546,94.459,1.492,95.952
0,7,4208.903,0.592,0.799,46.416,79.377,125.794,1.363,127.157
0,5,4154.904,0.378,0.458,105.65,86.733,192.384,0.306,192.69
0,1,4132.012,0.351,0.423,128.658,87.255,215.914,1.377,217.291
0,6,4263.817,0.316,0.392,7.054,80.022,87.076,2.867,89.944
0,2,4287.456,0.418,0.519,13.658,77.869,91.528,1.837,93.365
0,8,4285.427,0.371,0.448,46.607,81.282,127.89,1.193,129.083
0,6,4353.769,0.428,0.512,12.728,83.385,96.114,1.372,97.486
0,9,4313.041,0.452,0.544,65.025,81.466,146.492,1.454,147.947
0,7,4336.069,0.547,0.631,62.669,80.678,143.347,1.741,145.089
0,4,4285.532,0.421,0.489,126.035,80.128,206.164,1.865,208.029
0,1,4349.311,0.344,0.419,83.199,81.257,164.457,2.457,166.915
0,5,4347.602,0.336,0.415,84.785,84.577,169.362,0.205,169.568
0,3,4283.225,0.311,0.39,165.412,81.631,247.043,2.736,249.779
0,6,4451.266,0.349,0.435,16.483,81.492,97.976,1.693,99.669
0,2,4380.832,0.957,1.096,87.309,82.649,169.959,1.588,171.547
0,8,4414.518,0.362,0.479,53.482,84.438,137.92,1.534,139.454
0,0,4277.9,0.615,0.698,190.489,85.361,275.85,1.139,276.99
0,4,4493.572,0.353,0.433,5.668,79.869,85.538,1.985,87.523
0,9,4460.995,0.297,0.379,72.698,82.185,154.884,1.312,156.196
0,7,4481.166,0.353,0.43,52.934,82.767,135.702,0.9,136.602
0,1,4516.236,0.426,0.513,21.016,82.575,103.591,1.242,104.834
0,0,4554.897,0.284,0.36,14.035,80.027,94.063,0.644,94.708
0,2,4552.387,0.34,0.416,49.053,82.256,131.309,1.498,132.807
0,6,4550.944,0.374,0.452,58.083,82.241,140.324,0.226,140.55
0,5,4517.178,0.287,0.348,92.038,83.638,175.677,2.136,177.813
0,3,4533.015,0.387,0.482,81.677,80.321,161.999,0.881,162.88
0,8,4553.982,0.403,0.5,92.788,79.698,172.487,2.855,175.343
0,0,4649.615,0.455,0.528,19.45,84.334,103.785,1.69,105.475
0,4,4581.108,0.727,0.888,88.144,85.538,173.683,0.515,174.198
0,7,4617.775,0.309,0.38,57.266,80.933,138.2,1.523,139.723
0,9,4617.201,0.408,0.513,79.382,81.334,160.716,0.872,161.589
0,1,4621.077,0.313,0.394,79.38,80.484,159.864,1.538,161.403
0,5,4695,0.323,0.398,26.916,80.04,106.957,1.254,108.212
0,8,4729.336,0.417,0.504,8.58,81.443,90.024,1.481,91.506
0,6,4691.503,0.315,0.393,52.131,81.54,133.672,1.764,135.436
0,7,4757.506,0.336,0.402,8.604,82.634,91.239,2.208,93.447
0,3,4695.901,0.364,0.612,110.355,79.703,190.059,2.086,192.145
0,4,4755.316,0.387,0.444,71.444,80.424,151.868,1.02,152.889
0,1,4782.487,0.804,0.913,71.209,80.168,151.377,1.373,152.751
0,2,4685.202,0.318,0.395,168.695,81.247,249.943,1.572,251.515
0,0,4755.102,0.475,0.548,109.227,80.705,189.933,0.478,190.411
0,7,4850.962,0.47,0.583,25.01,82.997,108.007,1.157,109.164
0,5,4803.219,0.334,0.445,72.976,85.095,158.071,1.135,159.207
0,9,4778.799,0.486,0.589,120.634,80.375,201.009,1.331,202.341
0,4,4908.214,0.415,0.488,15.698,82.28,97.979,1.139,99.118
0,6,4826.949,0.393,0.479,97.059,83.146,180.206,1.672,181.879
0,8,4820.854,0.484,0.577,109.039,81.594,190.634,0.318,190.953
0,2,4936.725,0.354,0.431,6.303,83.521,89.824,1.867,91.692
0,3,4888.057,0.498,0.577,71.038,81.397,152.435,0.342,152.777
0,5,4962.434,0.279,0.331,14.723,82.679,97.402,0.279,97.682
0,7,4960.133,0.327,0.397,44.946,83.613,128.56,0.245,128.805
0,3,5040.845,0.439,0.546,14.402,85.033,99.435,2.166,101.602
0,8,5011.814,0.411,0.481,59.326,83.914,143.24,1.398,144.639
0,2,5028.425,0.366,0.446,42.929,84.889,127.819,0.305,128.124
0,0,4945.521,0.346,0.418,150.986,80.727,231.713,2.023,233.737
0,9,4981.151,0.45,0.557,115.5,82.904,198.405,2.823,201.228
0,5,5060.124,0.398,0.501,64.278,83.236,147.514,2.355,149.869
0,6,5008.836,0.28,0.353,115.728,85.538,201.267,0.603,201.871
0,1,4935.247,0.379,0.458,189.72,85.303,275.023,0.465,275.488
0,4,5007.34,0.542,0.741,117.463,85.645,203.108,2.146,205.255
0,7,5088.946,0.313,0.394,49.444,81.597,131.042,1.646,132.688
0,3,5142.457,0.399,0.478,5.147,81.287,86.435,0.881,87.317
0,2,5156.557,0.291,0.362,5.203,81.382,86.585,1.92,88.505
0,8,5156.462,0.521,0.69,19.219,80.308,99.528,1.821,101.349
0,9,5182.387,0.32,0.399,23.899,80.953,104.852,1.121,105.973
0,7,5221.642,0.307,0.391,5.745,81.815,87.561,1.817,89.378
0,0,5179.266,0.363,0.443,49.741,84.892,134.633,2.054,136.688
0,5,5210.018,0.568,0.643,61.334,81.577,142.911,1.418,144.33
0,3,5229.782,0.339,0.44,49.632,85.029,134.661,1.34,136.002
0,1,5210.738,0.792,1.471,86.688,81.747,168.435,0.87,169.305
0,9,5288.37,0.428,0.512,5.724,86.497,92.221,2.111,94.333
0,2,5245.07,0.351,0.431,61.536,81.418,142.954,1.728,144.682
0,0,5315.961,0.382,0.447,20.382,79.869,100.252,1.409,101.661
0,8,5257.815,0.423,0.49,92.566,80.892,173.459,1.496,174.955
0,7,5311.029,0.435,0.516,52.528,81.313,133.841,1.413,135.255
0,6,5210.712,1.532,1.63,151.833,85.155,236.989,1.118,238.107
0,3,5365.791,0.299,0.377,50.784,81.585,132.369,1.452,133.822
0,2,5389.757,0.474,0.554,26.667,82.959,109.627,1.814,111.441
0,0,5417.631,0.784,0.907,8.897,81.026,89.924,1.412,91.336
0,4,5212.602,0.386,0.447,217.003,82.217,299.221,1.166,300.387
0,9,5382.712,0.311,0.389,75.127,83.211,158.339,1.983,160.323
0,5,5354.356,0.305,0.39,112.1,80.95,193.05,1.376,194.427
0,7,5446.296,0.356,0.432,36.105,80.157,116.262,0.92,117.183
0,1,5380.053,0.405,0.494,111.048,85.12,196.168,1.345,197.514
0,6,5448.827,0.315,0.388,42.469,86.109,128.578,0.571,129.149
0,8,5432.778,0.329,0.409,64.109,83.938,148.048,0.344,148.393
0,4,5512.997,0.298,0.374,12.336,81.353,93.69,2.014,95.704
0,3,5499.624,0.486,0.595,59.894,82.285,142.179,1.619,143.799
0,5,5548.792,0.428,0.535,10.625,83.853,94.479,1.992,96.472
0,2,5501.208,0.575,0.684,90.412,78.346,168.759,0.685,169.444
0,4,5608.705,0.558,0.815,8.557,78.683,87.24,1.117,88.358
0,1,5577.576,0.426,0.513,55.869,79.618,135.487,1.607,137.095
0,0,5508.975,0.328,0.404,126.867,81.307,208.175,1.943,210.118
0,9,5543.047,0.36,0.436,90.905,85.163,176.069,2.65,178.719
0,2,5670.662,0.41,0.496,11.867,80.168,92.035,2.243,94.278
0,7,5563.487,0.303,0.384,127.359,84.02,211.379,1.073,212.452
0,6,5577.982,0.339,0.414,117.634,83.729,201.363,0.301,201.665
0,5,5645.292,0.373,0.455,50.568,84.436,135.005,1.355,136.36
0,4,5697.074,0.417,0.514,14.751,79.581,94.332,2.424,96.757
0,3,5643.43,0.367,0.462,102.833,81.493,184.327,2.916,187.244
0,0,5719.101,0.348,0.427,42.935,78.555,121.491,1.886,123.377
0,8,5581.178,0.307,0.381,181.001,83.057,264.059,1.295,265.354
0,9,5721.773,0.324,0.406,46.37,81.578,127.949,1.29,129.239
0,2,5764.95,0.399,0.477,28.761,79.071,107.832,2.316,110.149
0,1,5714.679,0.318,0.404,98.197,82.491,180.689,1.885,182.574
0,4,5793.839,0.314,0.382,30.597,81.38,111.978,1.234,113.212
0,7,5775.948,0.332,0.413,51.577,84.088,135.665,0.377,136.043
0,3,5830.686,0.955,1.072,11.735,81.606,93.341,1.701,95.043
0,9,5851.02,0.333,0.414,18.739,81.701,100.441,1.33,101.771
0,2,5875.109,0.396,0.478,15.164,81.893,97.058,1.217,98.275
0,5,5781.659,0.318,0.386,119.27,83.15,202.42,0.376,202.797
0,7,5911.998,0.339,0.418,11.726,82.093,93.82,1.495,95.315
0,3,5925.738,0.447,0.516,21.925,79.87,101.795,0.344,102.14
0,0,5842.488,0.338,0.409,124.073,81.734,205.807,2.047,207.855
0,6,5779.654,0.326,0.406,188.882,82.945,271.828,0.958,272.786
0,1,5897.261,0.301,0.377,74.047,81.4,155.448,0.967,156.415
0,8,5846.539,0.337,0.429,140.2,79.976,220.176,2.328,222.505
0,9,5952.801,0.344,0.421,54.536,79.755,134.291,1.41,135.702
0,7,6007.318,0.522,0.618,14.816,79.956,94.772,16.419,111.192
0,2,5973.394,0.518,0.592,60.307,84.753,145.06,0.75,145.81
0,5,5984.463,0.449,0.524,50.467,84.478,134.945,1.93,136.876
0,4,5907.056,0.402,0.484,129.229,84.9,214.129,1.722,215.851
0,3,6027.888,0.42,0.494,39.048,80.015,119.064,1.978,121.042
0,0,6050.355,1.316,1.485,29.107,82.111,111.218,1.742,112.96
0,1,6053.684,0.311,0.379,47.288,81.844,129.132,1.182,130.315
0,6,6052.444,0.503,0.615,67.027,81.05,148.077,1.152,149.229
0,5,6121.346,0.337,0.446,23.684,78.068,101.752,2.019,103.772
0,8,6069.053,0.397,0.478,79.682,79.537,159.219,1.582,160.802
0,9,6088.518,0.344,0.419,65.681,81.3,146.982,13.495,160.477
0,7,6118.543,0.547,0.608,50.691,81.862,132.554,0.377,132.931
0,3,6148.938,0.351,0.416,38.998,82.443,121.442,10.62,132.062
0,1,6184.009,0.625,0.847,30.097,79.57,109.667,2.015,111.682
0,4,6122.915,0.478,0.554,133.957,92.839,226.796,1.7,228.497
0,2,6119.207,0.42,0.468,136.749,95.595,232.345,3.165,235.51
0,5,6225.127,0.307,0.389,30.625,98.714,129.339,0.471,129.811
0,8,6229.86,0.669,0.746,51.831,97.397,149.228,1.67,150.898
0,6,6201.683,0.393,0.475,85.686,96.242,181.928,5.483,187.412
0,9,6249.004,0.394,0.467,68.533,82.42,150.954,0.531,151.485
0,0,6163.324,0.47,0.577,154.586,83.082,237.668,12.538,250.207
0,7,6251.483,0.329,0.409,71.341,90.405,161.747,0.44,162.188
0,3,6281.008,0.413,0.572,45.589,86.798,132.388,1.088,133.476
0,1,6295.702,0.418,0.499,51.953,79.591,131.545,1.322,132.867
0,4,6351.453,0.526,0.622,1.002,79.648,80.651,2.773,83.424
0,2,6354.728,0.554,0.647,34.466,80.677,115.143,0.939,116.083
0,5,6354.95,0.507,0.659,65.208,80.513,145.721,4.54,150.262
0,6,6389.103,0.371,0.453,31.17,84.714,115.884,0.492,116.376
0,0,6413.542,0.446,0.573,10.238,84.236,94.475,0.223,94.699
